COMTRADE CODE,COMTRADE COUNTRIES,NT = not trop. TR = tropical,Regional Distribution,FAO code
0,World,NT,World,N/A
4,Afghanistan,NT,Asia,2
8,Albania,NT,Europe,3
10,Antarctica,NT,Antarctica,30
12,Algeria,NT,Africa,4
16,American Samoa,TR,Oceania,5
20,Andorra,NT,Europe,6
24,Angola,TR,Africa,7
28,Antigua and Barbuda,TR,North America,8
31,Azerbaijan,NT,Asia,52
32,Argentina,NT,South America,9
36,Australia,NT,Oceania,10
40,Austria,NT,Europe,11
44,Bahamas,NT,North America,12
48,Bahrain,NT,Asia,13
50,Bangladesh,TR,Asia,16
51,Armenia,NT,Asia,1
52,Barbados,TR,North America,14
56,Belgium,NT,Europe,255
58,Belgium-Luxembourg,NT,Europe,15
60,Bermuda,NT,North America,17
64,Bhutan,NT,Asia,18
68,Bolivia,TR,South America,19
70,Bosnia Herzegovina,NT,Europe,80
72,Botswana,TR,Africa,20
74,Ile Bouvet,NT,Antarctica,31
76,Brazil,TR,South America,21
80,British Antarctic Territories,NT,Antarctica,N/A
84,Belize,TR,North America,23
86,British Indian Ocean Territories,TR,Asia,24
90,Solomon Islands,TR,Oceania,25
92,British Virgin Islands,TR,North America,239
96,Brunei Darussalam,TR,Asia,26
97,EU-25,NT,Europe,N/A
100,Bulgaria,NT,Europe,27
104,Myanmar,TR,Asia,28
108,Burundi,TR,Africa,29
112,Belarus,NT,Europe,57
116,Cambodia,TR,Asia,115
120,Cameroon,TR,Africa,32
124,Canada,NT,North America,33
129,"Caribbean, not elsewhere specified",TR,South America,N/A
132,Cape Verde,TR,Africa,35
136,Cayman Islands,TR,North America,36
140,Central African Republic,TR,Africa,37
144,Sri Lanka,TR,Asia,38
148,Chad,TR,Africa,39
152,Chile,NT,South America,40
156,China,NT,Asia,351
162,Christmas Islands,TR,Oceania,42
166,Cocos Islands,TR,Asia,43
170,Colombia,TR,South America,44
174,Comoros,TR,Africa,45
175,Mayotte,TR,Africa,270
178,Congo,TR,Africa,46
180,Democratic Republic of the Congo,TR,Africa,250
184,Cook Islands,TR,Oceania,47
188,Costa Rica,TR,North America,48
191,Croatia,NT,Europe,98
192,Cuba,TR,North America,49
196,Cyprus,NT,Europe,50
200,Czechoslovakia,NT,Europe,51
203,Czech Republic,NT,Europe,167
204,Benin,TR,Africa,53
208,Denmark,NT,Europe,54
212,Dominica,TR,North America,55
214,Dominican Republic,TR,North America,56
218,Ecuador,TR,South America,58
221,"Eastern Europe, not elsewhere specified",NT,Europe,N/A
222,El Salvador,TR,North America,60
226,Equatorial Guinea,TR,Africa,61
230,Former Ethiopia,TR,Africa,62
231,Ethiopia,TR,Africa,238
232,Eritrea,TR,Africa,178
233,Estonia,NT,Europe,63
234,Faeroe Islands,NT,Europe,64
238,Falkland Islands (Malvinas),NT,South America,65
239,South Georgia and the South Sandwich Islands,NT,South America,271
242,Fiji,TR,Oceania,66
246,Finland,NT,Europe,67
251,"France, Monaco",NT,Europe,68
254,French Guiana,TR,South America,69
258,French Polynesia,TR,Oceania,70
260,French South Antarctic Territories,NT,Africa,71
262,Djibouti,TR,Africa,72
266,Gabon,TR,Africa,74
268,Georgia,NT,Asia,73
270,Gambia,TR,Africa,75
275,Occupied Palestinian Territory,NT,Asia,299
276,Germany,NT,Europe,79
278,Former Democratic Republic of Germany,NT,Europe,N/A
280,Former Federal Republic of Germany,NT,Europe,78
288,Ghana,TR,Africa,81
