Names of products,Exceptions,Tropical,Product code,Nomenclature,Code,Description,unit,calculateAggregate?
WOODFUEL,,,1.1,HS96,440110,Name: Fuel wood,000 m3,
WOODFUEL,,,1.1,HS02,440110,"Name: Fuel wood, in logs/billets/twigs/faggots/sim. forms",000 m3,
WOODFUEL,,,1.1,HS07,440110,"Name: Fuel wood, in logs/billets/twigs/faggots/similar forms",000 m3,
WOODFUEL,,,1.1,HS12,440110,"Wood and articles of wood; wood charcoal // Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar forms. ",000 m3,
WOOD CHIPS AND PARTICLES,,,3.1,HS96,440121,"Name: Wood in chips, coniferous",000 m3,
WOOD CHIPS AND PARTICLES,,,3.1,HS02,440121,"Name: Wood, in chips/particles, coniferous",000 m3,
WOOD CHIPS AND PARTICLES,,,3.1,HS07,440121,"Name: Wood, in chips/particles, coniferous",000 m3,
WOOD CHIPS AND PARTICLES,,,3.1,HS12,440121,"Name: Wood and articles of wood; wood charcoal // Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar f",000 m3,
WOOD CHIPS AND PARTICLES,,,3.1,HS96,440122,"Name: Wood in chips, non-coniferous",000 m3,
WOOD CHIPS AND PARTICLES,,,3.1,HS02,440122,"Name: Wood, in chips/particles, non-coniferous",000 m3,
WOOD CHIPS AND PARTICLES,,,3.1,HS07,440122,"Name: Wood, in chips/particles, non-coniferous",000 m3,
WOOD CHIPS AND PARTICLES,,,3.1,HS12,440122,"Name: Wood and articles of wood; wood charcoal // Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms; wood in chips or particles; sawdust and wood waste and scrap, whether or not agglomerated in logs, briquettes, pellets or similar f",000 m3,
WOOD RESIDUES,,,4.1,HS96,440130,"Name: Sawdust, wood waste or scrap",000 kg,
WOOD RESIDUES,,,4.1,HS02,440130,"Name: Sawdust, wood waste or scrap",000 kg,
