"product","productcodeitto","productcodecomtrade"
"WOODFUEL","1.1",440110
"WOOD CHIPS AND PARTICLES","3.1",440121
"WOOD CHIPS AND PARTICLES","3.1",440122
"WOOD RESIDUES (INCLUDING WOOD FOR AGGLOMERATES)","3.2",440131
"WOOD PELLETS","4.1",440131
"WOOD RESIDUES (INCLUDING WOOD FOR AGGLOMERATES)","3.2",440139
"WOOD CHARCOAL","2",440290
"LOGS","1.2.C",440320
"LOGS","1.2.NC",440341
"LOGS","1.2.NC",440349
"LOGS","1.2.NC",440391
"LOGS","1.2.NC",440392
"LOGS","1.2.NC",440399
"SAWNWOOD","5.C",440710
"SAWNWOOD","5.NC",440721
"SAWNWOOD","5.NC",440722
"SAWNWOOD","5.NC",440725
"SAWNWOOD","5.NC",440726
"SAWNWOOD","5.NC",440727
"SAWNWOOD","5.NC",440728
"SAWNWOOD","5.NC",440729
"SAWNWOOD","5.NC",440791
"SAWNWOOD","5.NC",440792
"SAWNWOOD","5.NC",440793
"SAWNWOOD","5.NC",440794
"SAWNWOOD","5.NC",440795
"SAWNWOOD","5.NC",440799
"VENEER","6.1.C",440810
"VENEER","6.1.NC",440831
"VENEER","6.1.NC",440839
"VENEER","6.1.NC",440890
"FIBERBOARD","6.3.1",441011
"OSB","6.3.1",441012
"MDF","6.4.2",441112
"MDF","6.4.2",441113
"MDF","6.4.2",441114
"HARDBOARD","6.4.1",441192
"OTHER FIBERBOARD","6.4.3",441193
"OTHER FIBERBOARD","6.4.3",441194
"PLYWOOD","6.2.NC",441231
"PLYWOOD","6.2.NC",441232
"PLYWOOD","6.2.C",441239
"PLYWOOD","6.2.NC",441294
"PLYWOOD","6.2.NC",441299
"CHEMICAL SULPHATE UNBLEACHED PULP","7.3.1",470311
"CHEMICAL SULPHATE UNBLEACHED PULP","7.3.1",470319
"CHEMICAL SULPHATE BLEACHED PULP","7.3.2",470321
"CHEMICAL SULPHATE BLEACHED PULP","7.3.2",470329
"CHEMICAL SULPHITE UNBLEACHED PULP","7.3.3",470411
"CHEMICAL SULPHITE UNBLEACHED PULP","7.3.3",470419
"CHEMICAL SULPHITE BLEACHED PULP","7.3.4",470421
"CHEMICAL SULPHITE BLEACHED PULP","7.3.4",470429
"OTHER PULP FROM FIBRES OTHER THAN WOOD","8.1",470610
