JFSQ-1,JFSQ-2,HSFULL6D,HS2017,HS2012,HS2007,HS2002,HS1996,HS1992,Tropical,Bamboo&Rattan
1,1.1,440110,1,1,1,1,1,1,0,0
3,3.1,440121,1,1,1,1,1,1,0,0
3,3.1,440122,1,1,1,1,1,1,0,0
4,4.1,440130,0,0,1,1,1,1,0,0
3,3.2,440131,1,1,0,0,0,0,0,0
3,3.2,440139,1,1,0,0,0,0,0,0
2,2,440200,0,0,0,1,1,1,0,0
2,2,440210,1,1,1,0,0,0,0,1
2,2,440290,1,1,1,0,0,0,0,0
1,1.2,440310,1,1,1,1,1,1,0,0
1,1.2,440320,1,1,1,1,1,1,0,0
1,1.2,440331,0,0,0,0,0,1,0,0
1,1.2,440332,0,0,0,0,0,1,0,0
1,1.2,440333,0,0,0,0,0,1,0,0
1,1.2,440334,0,0,0,0,0,1,0,0
1,1.2,440335,0,0,0,0,0,1,0,0
1,1.2,440341,1,1,1,1,1,0,1,0
1,1.2,440349,1,1,1,1,1,0,1,0
1,1.2,440391,1,1,1,1,1,1,0,0
1,1.2,440392,1,1,1,1,1,1,0,0
1,1.2,440399,1,1,1,1,1,1,0,0
11,11.4,440410,1,1,1,1,1,1,0,0
11,11.4,440420,1,1,1,1,1,1,0,0
3,3.1,440500,1,1,1,1,1,1,0,0
5,5,440610,1,1,1,1,1,1,0,0
5,5,440690,1,1,1,1,1,1,0,0
5,5,440710,1,1,1,1,1,1,0,0
5,5,440721,1,1,1,0,0,1,0,0
5,5,440722,1,1,1,0,0,1,0,0
5,5,440723,0,0,0,0,0,1,0,0
5,5,440724,0,0,0,1,1,0,1,0
5,5,440725,1,1,1,1,1,0,1,0
5,5,440726,1,1,1,1,1,0,1,0
5,5,440727,1,1,1,0,0,0,1,0
5,5,440728,1,1,1,0,0,0,1,0
5,5,440729,1,1,1,1,1,0,1,0
5,5,440791,1,1,1,1,1,1,0,0
5,5,440792,1,1,1,1,1,1,0,0
5,5,440793,1,1,1,0,0,0,0,0
5,5,440794,1,1,1,0,0,0,0,0
5,5,440795,1,1,1,0,0,0,0,0
5,5,440799,1,1,1,1,1,1,0,0
6,6.1,440810,1,1,1,1,1,1,0,0
6,6.1,440820,0,0,0,0,0,1,0,0
6,6.1,440831,1,1,1,1,1,0,1,0
6,6.1,440839,1,1,1,1,1,0,1,0
6,6.1,440890,1,1,1,1,1,1,0,0
11,11.1,440910,1,1,1,1,1,1,0,0
11,11.1,440920,0,0,0,1,1,1,0,0
11,11.1,440921,1,1,1,0,0,0,0,1
11,11.1,440922,1,0,0,0,0,0,0,0
11,11.1,440929,1,1,1,0,0,0,0,0
6,6.3,441010,0,0,0,0,0,1,0,0
6,6.3,441011,1,1,1,0,1,0,0,0
6,6.3,441012,1,1,1,0,0,0,0,0
6,6.3,441019,1,1,1,0,1,0,0,0
6,6.3,441021,0,0,0,1,0,0,0,0
6,6.3,441029,0,0,0,1,0,0,0,0
6,6.3,441031,0,0,0,1,0,0,0,0
6,6.3,441032,0,0,0,1,0,0,0,0
6,6.3,441033,0,0,0,1,0,0,0,0
6,6.3,441039,0,0,0,1,0,0,0,0
6,6.3,441090,1,1,1,1,1,1,0,0
6,6.4,441111,0,0,0,1,1,1,0,0
6,6.4,441112,1,1,1,0,0,0,0,0
6,6.4,441113,1,1,1,0,0,0,0,0
6,6.4,441114,1,1,1,0,0,0,0,0
6,6.4,441119,0,0,0,1,1,1,0,0
6,6.4,441121,0,0,0,1,1,1,0,0
6,6.4,441129,0,0,0,1,1,1,0,0
6,6.4,441131,0,0,0,1,1,1,0,0
6,6.4,441139,0,0,0,1,1,1,0,0
6,6.4,441191,0,0,0,1,1,1,0,0
6,6.4,441192,1,1,1,0,0,0,0,0
6,6.4,441193,1,1,1,0,0,0,0,0
6,6.4,441194,1,1,1,0,0,0,0,0
6,6.4,441199,0,0,0,1,1,1,0,0
6,6.2,441210,1,1,1,0,0,0,0,1
6,6.2,441211,0,0,0,0,0,1,0,0
6,6.2,441212,0,0,0,0,0,1,0,0
6,6.2,441213,0,0,0,1,1,0,0,1
