id,name,x,y,Tot.tr,size,% 
1,ABW,2281,11328,13609,0.09,0.017
2,AFG,803,0,803,0.01,0.001
3,AGO,8386,0,8386,0.06,0.011
4,AIA,174,0,174,0.00,0.000
5,ALB,7701,4023,11724,0.08,0.015
6,AND,2155,0,2155,0.01,0.003
7,ANT,795,0,795,0.01,0.001
8,ARE,455292,0,455292,3.03,0.577
9,ARG,65225,63148,128373,0.85,0.163
10,ARM,1583,1730,3313,0.02,0.004
11,ASM,34,0,34,0.00,0.000
12,ATA,47,0,47,0.00,0.000
13,ATG,436,932,1368,0.01,0.002
14,AUS,251158,218197,469355,3.12,0.595
15,AUT,375772,306750,682522,4.54,0.866
16,AZE,8075,20668,28743,0.19,0.036
17,BDI,23,136,159,0.00,0.000
18,BEL,339977,390070,730047,4.86,0.926
19,BEN,30486,4958,35444,0.24,0.045
20,BES,4,0,4,0.00,0.000
21,BFA,359,7724,8083,0.05,0.010
22,BGD,1002,166,1168,0.01,0.001
23,BGR,27541,39710,67251,0.45,0.085
24,BHR,34168,28052,62220,0.41,0.079
25,BHS,1855,10053,11908,0.08,0.015
26,BIH,31533,19120,50653,0.34,0.064
27,BLR,100890,50309,151199,1.01,0.192
28,BLZ,5145,6595,11740,0.08,0.015
29,BMU,466,390,856,0.01,0.001
30,BOL,158312,80015,238327,1.59,0.302
31,BRA,1037121,638042,1675163,11.14,2.125
32,BRB,1182,4908,6090,0.04,0.008
33,BRN,334,413,747,0.00,0.001
34,BTN,24,106,130,0.00,0.000
35,BWA,16308,17155,33463,0.22,0.042
36,CAF,7281,0,7281,0.05,0.009
37,CAN,1149058,728207,1877265,12.49,2.381
38,CCK,20,0,20,0.00,0.000
39,CHE,172601,84190,256791,1.71,0.326
40,CHL,71694,19847,91541,0.61,0.116
41,CHN,6645674,8389143,15034817,100.00,19.068
42,CIV,255607,61834,317441,2.11,0.403
43,CMR,613766,359302,973068,6.47,1.234
44,COD,76695,0,76695,0.51,0.097
45,COG,52724,1399,54123,0.36,0.069
46,COK,160,0,160,0.00,0.000
47,COL,28071,2986,31057,0.21,0.039
48,COM,196,2,198,0.00,0.000
49,CPV,1457,3717,5174,0.03,0.007
50,CRI,6888,3606,10494,0.07,0.013
51,CUB,5975,0,5975,0.04,0.008
52,CUW,1070,0,1070,0.01,0.001
53,CXR,56,0,56,0.00,0.000
54,CYM,199,0,199,0.00,0.000
55,CYP,5705,3073,8778,0.06,0.011
56,CZE,56430,80052,136482,0.91,0.173
57,DEU,1121498,573892,1695390,11.28,2.150
58,DJI,206,0,206,0.00,0.000
59,DMA,89,323,412,0.00,0.001
60,DNK,72939,138727,211666,1.41,0.268
61,DOM,41878,30234,72112,0.48,0.091
62,DZA,14927,175413,190340,1.27,0.241
63,ECU,5490,3582,9072,0.06,0.012
64,EGY,32514,25291,57805,0.38,0.073
65,ERI,144,0,144,0.00,0.000
66,ESP,112079,137452,249531,1.66,0.316
67,EST,194860,279930,474790,3.16,0.602
68,ETH,199,708,907,0.01,0.001
69,EU2,0,2421347,2421347,16.10,3.071
70,FIN,487441,96287,583728,3.88,0.740
71,FJI,4220,5555,9775,0.07,0.012
72,FLK,1873,0,1873,0.01,0.002
73,FRA,391385,331056,722441,4.81,0.916
74,FRO,787,817,1604,0.01,0.002
75,FSM,39,0,39,0.00,0.000
76,GAB,434215,60,434275,2.89,0.551
77,GBR,386016,506954,892970,5.94,1.133
78,GEO,27410,15617,43027,0.29,0.055
79,GHA,104281,357381,461662,3.07,0.586
80,GIB,523,0,523,0.00,0.001
81,GIN,4776,0,4776,0.03,0.006
82,GMB,1527,122,1649,0.01,0.002
83,GNB,929,0,929,0.01,0.001
